tm,MVm,PVm
3.240000000000000000e+02,1.000000000000000000e+00,2.232500000000000040e-01
3.250000000000000000e+02,1.000000000000000000e+00,2.272499999999998965e-01
3.260000000000000000e+02,1.000000000000000000e+00,2.199999999999999178e-01
3.270000000000000000e+02,1.000000000000000000e+00,2.199999999999999178e-01
3.280000000000000000e+02,1.000000000000000000e+00,2.199999999999999178e-01
3.290000000000000000e+02,1.000000000000000000e+00,2.080000000000000182e-01
3.300000000000000000e+02,1.000000000000000000e+00,2.199999999999999178e-01
3.310000000000000000e+02,1.000000000000000000e+00,2.199999999999999178e-01
3.320000000000000000e+02,1.000000000000000000e+00,2.199999999999999178e-01
3.330000000000000000e+02,1.000000000000000000e+00,2.037499999999999589e-01
3.340000000000000000e+02,1.000000000000000000e+00,2.174999999999998879e-01
3.350000000000000000e+02,1.000000000000000000e+00,2.192499999999998894e-01
3.360000000000000000e+02,1.000000000000000000e+00,2.199999999999999178e-01
3.370000000000000000e+02,1.000000000000000000e+00,2.152499999999999969e-01
3.380000000000000000e+02,1.000000000000000000e+00,2.192499999999998894e-01
3.390000000000000000e+02,1.000000000000000000e+00,2.199999999999999178e-01
3.400000000000000000e+02,1.000000000000000000e+00,2.199999999999999178e-01
3.410000000000000000e+02,1.000000000000000000e+00,2.304999999999999827e-01
3.420000000000000000e+02,1.000000000000000000e+00,2.080000000000000182e-01
3.430000000000000000e+02,1.000000000000000000e+00,2.199999999999999178e-01
3.440000000000000000e+02,1.000000000000000000e+00,2.199999999999999178e-01
3.450000000000000000e+02,1.000000000000000000e+00,2.182499999999999163e-01
3.460000000000000000e+02,1.000000000000000000e+00,2.714999999999999636e-01
3.470000000000000000e+02,1.000000000000000000e+00,2.214999999999999747e-01
3.480000000000000000e+02,1.000000000000000000e+00,2.199999999999999178e-01
3.490000000000000000e+02,1.000000000000000000e+00,2.207499999999999463e-01
3.500000000000000000e+02,1.000000000000000000e+00,2.094999999999998808e-01
3.510000000000000000e+02,1.000000000000000000e+00,2.207499999999999463e-01
3.520000000000000000e+02,1.000000000000000000e+00,2.199999999999999178e-01
3.530000000000000000e+02,1.000000000000000000e+00,2.199999999999999178e-01
3.540000000000000000e+02,1.000000000000000000e+00,2.337500000000000411e-01
3.550000000000000000e+02,1.000000000000000000e+00,2.482499999999999984e-01
3.560000000000000000e+02,1.000000000000000000e+00,2.199999999999999178e-01
3.570000000000000000e+02,1.000000000000000000e+00,2.199999999999999178e-01
3.580000000000000000e+02,1.000000000000000000e+00,2.192499999999998894e-01
3.590000000000000000e+02,1.000000000000000000e+00,2.369999999999999329e-01
3.600000000000000000e+02,1.000000000000000000e+00,2.199999999999999178e-01
3.610000000000000000e+02,1.000000000000000000e+00,2.192499999999998894e-01
3.620000000000000000e+02,1.000000000000000000e+00,2.214999999999999747e-01
3.630000000000000000e+02,1.000000000000000000e+00,2.127499999999999392e-01
3.640000000000000000e+02,1.000000000000000000e+00,2.192499999999998894e-01
3.650000000000000000e+02,1.000000000000000000e+00,2.199999999999999178e-01
3.660000000000000000e+02,1.000000000000000000e+00,2.182499999999999163e-01
3.670000000000000000e+02,1.000000000000000000e+00,2.627499999999999281e-01
3.680000000000000000e+02,1.000000000000000000e+00,2.199999999999999178e-01
3.690000000000000000e+02,1.000000000000000000e+00,2.199999999999999178e-01
3.700000000000000000e+02,1.000000000000000000e+00,2.199999999999999178e-01
3.710000000000000000e+02,1.000000000000000000e+00,2.134999999999999676e-01
3.720000000000000000e+02,1.000000000000000000e+00,2.080000000000000182e-01
3.730000000000000000e+02,1.000000000000000000e+00,2.199999999999999178e-01
3.740000000000000000e+02,1.000000000000000000e+00,2.199999999999999178e-01
3.750000000000000000e+02,1.000000000000000000e+00,2.207499999999999463e-01
3.760000000000000000e+02,1.000000000000000000e+00,2.102499999999999092e-01
3.770000000000000000e+02,1.000000000000000000e+00,2.199999999999999178e-01
3.780000000000000000e+02,1.000000000000000000e+00,2.199999999999999178e-01
3.790000000000000000e+02,1.000000000000000000e+00,2.214999999999999747e-01
3.800000000000000000e+02,1.000000000000000000e+00,2.224999999999999756e-01
3.810000000000000000e+02,1.000000000000000000e+00,2.254999999999998950e-01
3.820000000000000000e+02,1.000000000000000000e+00,2.224999999999999756e-01
3.830000000000000000e+02,1.000000000000000000e+00,2.247499999999998666e-01
3.840000000000000000e+02,1.000000000000000000e+00,2.109999999999999376e-01
3.850000000000000000e+02,1.000000000000000000e+00,2.254999999999998950e-01
